Date Opened,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 05 2008,001-2008,I,Beef Products,E. coli O157:H7,"13,150"
Jan 12 2008,002-2008,I,Ground Beef Products,E. coli O157:H7,"188,000"
Jan 26 2008,003-2008,I,"Boneless, Skinless Chicken Breast Products",Undeclared Allergen,"24,710"
Feb 01 2008,004-2008,I,Bacon Wrapped Beef Tenderloin Products,Undeclared Allergen,"8,910"
Feb 17 2008,005-2008,II,Raw and Frozen Beef Products,Other,"143,383,823"
Mar 02 2008,006-2008,I,Frozen Chicken Entrées,Listeria monocytogenes,"2,184"
Mar 03 2008,007-2008,I,Frozen Chicken Entrées,Listeria monocytogenes,"10,368"
Mar 04 2008,008-2008,I,Frozen Chicken Entrées,Listeria monocytogenes,"3,780"
Mar 04 2008,009-2008,I,Meat and Poultry Products,Listeria monocytogenes,"6,970"
Mar 14 2008,010-2008,I,Poultry Giblets and Carcasses with Giblets Inserted,Other,"943,000"
Mar 29 2008,011-2008,I,Frozen Chicken Breast Products,Other,"1,420"
Apr 04 2008,012-2008,II,Frozen Cattle Heads,Other,"406,000"
May 03 2008,013-2008,I,Fresh and Frozen Meat and Poultry Products,Listeria monocytogenes,"286,320"
May 08 2008,014-2008,I,Ground Beef Products,E. coli O157:H7,"68,670"
May 12 2008,015-2008,I,Ground Beef Products,Extraneous Material,"22,481"
May 16 2008,016-2008,I,Beef Products,E. coli O157:H7,Undetermined
May 21 2008,017-2008,I,Pork Blood Sausage,Listeria monocytogenes,290
Jun 08 2008,018-2008,I,Ground Beef Products,E. coli O157:H7,"13,275"
Jun 09 2008,019-2008,I,Ready-to-Eat (RTE) Chicken Products,Listeria monocytogenes,130
Jun 25 2008,R01-2008,I,Ground Beef Products,E. coli O157:H7,Undetermined
Jun 26 2008,020-2008,II,Fresh Cattle Heads,Other,"2,850"
Jun 26 2008,021-2008,II,Fresh Cattle Heads,Other,120
Jun 30 2008,022-2008,I,Ground Beef Components,E. coli O157:H7,"5,300,000"
Jul 14 2008,023-2008,I,Frozen Stuffed Chicken Sandwich Products,Extraneous Material,"199,417"
Jul 23 2008,024-2008,I,Beef Cheek Products,E. coli O157:H7,"1,560"
Aug 05 2008,025-2008,I,RTE Chicken Products,Listeria monocytogenes,285
Aug 06 2008,026-2008,II,Chicken Breast Tenderloin Products,Undeclared Allergen,"51,360"
Aug 06 2008,027-2008,I,Frozen Ground Beef Products,E. coli O157:H7,"153,630"
Aug 07 2008,028-2008,II,Cattle Heads,Other,"941,271"
Aug 08 2008,029-2008,I,Beef Products,E. coli O157:H7,"1,360,000"
Aug 10 2008,030-2008,I,Fully Cooked Pork Products,Listeria monocytogenes,"4,535"
Aug 11 2008,031-2008,I,Ground Beef Products,E. coli O157:H7,780
Aug 19 2008,032-2008,II,RTE Chicken Noodle Products,Undeclared Allergen,987
Aug 21 2008,033-2008,I,Frozen Stuffed Pepperoni Pizza Sandwich Products,Extraneous Material,"215,660"
Sep 30 2008,034-2008,I,RTE Turkey Product,Listeria monocytogenes,16
Oct 08 2008,035-2008,I,Frozen Beef Trim,E. coli O157:H7,"2,340"
Oct 08 2008,036-2008,I,Frozen Beef Trim,E. coli O157:H7,"4,200"
Oct 08 2008,037-2008,I,Frozen Beef Trim,E. coli O157:H7,"20,460"
Oct 10 2008,038-2008,I,Frozen Beef Trim,E. coli O157:H7,420
Oct 16 2008,039-2008,I,Ground Beef Products,E. coli O157:H7,"2,758"
Nov 01 2008,040-2008,I,RTE and Raw Banger Sausage Rolls,Undeclared Allergen,600
Nov 07 2008,041-2008,I,Frozen Stuffed Chicken Products,Extraneous Material,"41,415"
Nov 08 2008,042-2008,I,Hot Dog Products,Listeria monocytogenes,"28,610"
Nov 17 2008,043-2008,I,Frozen Chicken Meals,Extraneous Material,"879,565"
Nov 24 2008,044-2008,I,Ground Beef Products,E. coli O157:H7,345
Nov 26 2008,045-2008,II,Cooked Chicken Strip Products,Undeclared Allergen,"8,496"
Nov 28 2008,046-2008,I,RTE Frozen Beef Sandwich Products,Listeria monocytogenes,"5,250"
Dec 02 2008,047-2008,II,RTE Polish Kielbasa Sausage Products,Undeclared Allergen,"36,388"
Dec 11 2008,048-2008,II,Fresh Pork Products,Chemical Contamination,"41,020"
Dec 11 2008,049-2008,II,Fresh Pork Products,Chemical Contamination,"4,041"
Dec 11 2008,050-2008,II,Fresh Pork Products,Chemical Contamination,"33,880"
Dec 19 2008,051-2008,I,Sopressata Sausage Products,Listeria monocytogenes,1
Dec 25 2008,052-2008,I,Sausage Products,Listeria monocytogenes,750
Dec 30 2008,053-2008,I,Burrito Products,Listeria monocytogenes,172
