Recall Number,Open Date,Class,Pounds Recalled,Product,Problem Type
001-2016,4-Jan-16,2,"89,568",Beef products,Extraneous Material
002-2016,5-Jan-16,1,14,Cajun Hickory Smoked Pork Tasso,Listeria monocytogenes
003-2016,5-Jan-16,1,"1,125",Chicken products,Other
004-2016,6-Jan-16,1,"7,687","Beef, Pork, and Chicken Products",Other
005-2016,8-Jan-16,2,"4,040",Pork Sausage,Undeclared Substance
006-2016,16-Jan-16,2,"22,182",Sweet Apple Chicken Sausage,Undeclared Substance
007-2016,20-Jan-16,1,410,Ground Beef,E. coli
008-2016,22-Jan-16,3,"549,539",Chili without Beans,Undeclared Substance
009-2016,23-Jan-16,1,"38,950",Meat and Poultry Pasta Products,Other
010-2016,25-Jan-16,2,"73,898",Pepperoni Pizza,Undeclared Substance
011-2016,25-Jan-16,2,"1,320",Beef Knockwurst Sausage Links,Undeclared Substance
012-2016,30-Jan-16,1,289,Beef and Chicken,Other
013-2016,5-Feb-16,1,491,Pork Meat Ravioli,Other
014-2016,8-Feb-16,1,135,Uncured Bacon Ganache Bar,Undeclared Allergen
015-2016,9-Feb-16,2,450,Beef Stew,Extraneous Material
016-2016,12-Feb-16,1,"25,215",Pork Bacon Fritters,Extraneous Material
017-2016,13-Feb-16,1,"7,275",Meatball Soup Products,Other
018-2016,16-Feb-16,2,"3,710",Southwest Style Chicken Salad,Extraneous Material
019-2016,19-Feb-16,1,"1,006",Edamame Hummus Wrap,Undeclared Allergen
020-2016,23-Feb-16,3,"6,000",Shirakiku Pork Gyoza Dumplings,Undeclared Substance
021-2016,25-Feb-16,1,"3,004",Various Chicken Salad Products,Listeria monocytogenes
022-2016,3-Mar-16,2,"19,200",Fully Cooked Chicken Products,Undeclared Allergen
023-2016,5-Mar-16,1,"4,530",Chicken Nuggets,Extraneous Material
024-2016,10-Mar-16,1,"267,024",Chicken Pizza and Lasagna Products,Extraneous Material
025-2016,22-Mar-16,1,111,Southwest Chicken Salad,Undeclared Allergen
026-2016,6-Apr-16,1,"2,881",Meat & Poultry Pinwheels,Extraneous Material
027-2016,7-Apr-16,1,"5,176,844",Fully Cooked Chicken Products,Extraneous Material
028-2016,12-Apr-16,1,467,Pork Sausage and Bacon Products,Undeclared Allergen
029-2016,14-Apr-16,1,"10,455",Chicken and Turkey Products,Undeclared Allergen
030-2016,16-Apr-16,1,"3,469",Breaded Pork Products,Undeclared Allergen
031-2016,21-Apr-16,1,325,Beef Patties,E. coli
032-2016,29-Apr-16,1,"1,341",Meat and Poultry Wraps and Salads,Other
033-2016,29-Apr-16,1,"220,450",Fully Cooked Chicken Nuggets,Extraneous Material
034-2016,4-May-16,1,"33,610",Salad with Chicken,Listeria monocytogenes
035-2016,4-May-16,1,"1,575",Vegetable Lasagna Products,Undeclared Allergen
036-2016,5-May-16,1,471,Charcuterie Meat Products,Other
037-2016,7-May-16,1,"117,350",Meat Tamale Products,Listeria monocytogenes
038-2016,7-May-16,1,497,Beef Jerky,Processing Defect
039-2016,10-May-16,1,"114,870",Chicken Fried Rice,Listeria monocytogenes
040-2016,11-May-16,1,"47,112,257",NRTE Meat and Poultry Products,Listeria monocytogenes
041-2016,18-May-16,3,"5,616",Pork Dumplings,Undeclared Substance
042-2016,19-May-16,2,"84,340",Frozen Beef Entrees,Undeclared Allergen
043-2016,20-May-16,1,373,Citrus Kale Salad with Chicken,Listeria monocytogenes
044-2016,26-May-16,2,151,Thai Style Chicken Mango Salad,Undeclared Allergen
045-2016,27-May-16,3,150,Pulled Pork with Barbecue,Other
046-2016,3-Jun-16,1,"15,996",Broccoli Salad Dressing,Listeria monocytogenes
047-2016,4-Jun-16,1,873,"Beef, Turkey, and Chicken Meat Pies",Other
048-2016,13-Jun-16,1,762,Dried Pork Sausage,Other
049-2016,14-Jun-16,1,"3,586",Beef Cuts and Trimmings,E. coli
050-2016,17-Jun-16,1,"10,198",Various Dumplings and Wontons,Undeclared Allergen
051-2016,18-Jun-16,1,"55,608",Various Bulk Chicken Parts,Extraneous Material
052-2016,20-Jun-16,1,"29,645",Swai Fillets,Other
053-2016,26-Jun-16,1,"2,444",Caesar Salad with Chicken Breast,Undeclared Allergen
054-2016,1-Jul-16,2,"5,682",RTE Salad with Chicken,Undeclared Allergen
055-2016,1-Jul-16,1,42,Lemongrass Basil Chicken Entrees,Listeria monocytogenes
056-2016,6-Jul-16,1,"195,597",Frozen Meat and Poultry Entrees,Extraneous Material
057-2016,8-Jul-16,1,"44,850",NRTE Meat and Poultry Products,E. coli
058-2016,12-Jul-16,1,"5,850",Uncooked Chicken Tenderloin Fritter,E. coli
059-2016,13-Jul-16,1,"5,677",Shrimp Scampi,Undeclared Allergen
060-2016,14-Jul-16,2,"21,521",Siluriformes fish (catfish),Residue
061-2016,19-Jul-16,1,"372,684",RTE Hot Dog and Corn Dog Products,Other
062-2016,21-Jul-16,1,"11,658",Whole Roaster Hogs,Salmonella
063-2016,22-Jul-16,2,"4,692",Wild Boar Brotwurst,Other
064-2016,26-Jul-16,1,"2,606",Non Intact Beef Products,E. coli
065-2016,26-Jul-16,1,"8,800",Beef,E. coli
066-2016,27-Jul-16,1,636,Dried Chicken Noodle Soup Mix,Other
067-2016,28-Jul-16,1,845,Meat Pasta Products,Other
068-2016,29-Jul-16,1,295,Beef Jerky,Other
069-2016,3-Aug-16,2,204,Sausage Bangers,Undeclared Allergen
070-2016,6-Aug-16,1,0,Various Meat and Poultry Products,Undeclared Allergen
071-2016,10-Aug-16,2,"60,350",Ground Beef,Extraneous Material
072-2016,21-Aug-16,1,"1,951",Meat and Poultry Products,Other
073-2016,24-Aug-16,2,"7,420",Beef Brains,Other
074-2016,25-Aug-16,2,"21,570",Chicken Entrees,Extraneous Material
075-2016,26-Aug-16,1,"18,672",Bacon and Cheddar Smoked Sausages,Undeclared Allergen
076-2016,1-Sep-16,2,422,Chicken wraps,Undeclared Allergen
077-2016,8-Sep-16,1,35,Ground Beef,E. coli
078-2016,9-Sep-16,1,15,Lamb,E. coli
079-2016,10-Sep-16,1,662,Various Meat and Poultry Products,Other
080-2016,10-Sep-16,2,"32,928",Pork Rinds,Undeclared Allergen
081-2016,16-Sep-16,1,915,Beef Tamales,Other
082-2016,16-Sep-16,1,0,Pork Sausages,Other
083-2016,17-Sep-16,1,82,Various Raw Meat Products,Other
084-2016,21-Sep-16,1,920,Chicken,Undeclared Allergen
085-2016,21-Sep-16,2,"8,694",Ready to Eat Ham,Extraneous Material
086-2016,22-Sep-16,1,"1,250",Pizza,Other
087-2016,24-Sep-16,1,0,Raw and Non-intact Beef and Bison,E. coli
088-2016,24-Sep-16,1,90,Spaghetti and Sausage,Other
089-2016,27-Sep-16,1,"132,520",Fully Cooked Chicken Nuggets,Extraneous Material
090-2016,27-Sep-16,1,"2,100",Boneless Beef Trimming,E. coli
091-2016,30-Sep-16,1,"216,367",Ground Beef,E. coli
092-2016,3-Oct-16,1,170,RTE Bacon,Listeria monocytogenes
093-2016,9-Oct-16,1,969,Ham and American Cracker Stacker,Undeclared Allergen
094-2016,12-Oct-16,1,"2,064",Rendered Animal Fat,Undeclared Allergen
095-2016,14-Oct-16,1,"2,349",Non-intact Beef and Veal,E. coli
096-2016,15-Oct-16,1,"1,148",Popcorn Chicken,Extraneous Material
097-2016,15-Oct-16,1,"54,011",Sliced and Log Turkey Breast,Extraneous Material
098-2016,21-Oct-16,2,"126,570",Pulled Pork Products,Undeclared Allergen
099-2016,21-Oct-16,1,"26,800",Chicken and Dumplings,Undeclared Allergen
100-2016,25-Oct-16,1,"5,610",Canned Chicken,Extraneous Material
101-2016,26-Oct-16,1,"3,895",Chicken and Pork Bologna,Undeclared Allergen
102-2016,3-Nov-16,1,741,Beef Jerky Products,Other
103-2016,6-Nov-16,2,"21,403",Breaded Chicken Patties,Extraneous Material
104-2016,8-Nov-16,1,"1,689",Beef and Pork Snack Stick Products,Extraneous Material
105-2016,8-Nov-16,1,"1,710",Egg Pork Roll,Undeclared Allergen
106-2016,12-Nov-16,1,62,Chicken Breasts,Processing Defect
107-2016,15-Nov-16,2,108,Beef Shepherd's Pie,Undeclared Allergen
108-2016,17-Nov-16,2,"237,891",Pork Barbecue Products,Undeclared Allergen
109-2016,17-Nov-16,1,932,Cured Dried Pork Loin,Processing Defect
110-2016,18-Nov-16,1,"4,059",Chicken Breasts,Processing Defect
