Date Opened,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 05 2006,001-2006,II,Beef Franks,Undeclared Allergen,"464,820"
Jan 23 2006,002-2006,II,Frozen Asian Style Pot Stickers,Extraneous Material,"54,690"
Jan 23 2006,003-2006,I,Frozen Sirloin Beef and Asian Style Vegetables,Undeclared Allergen,"1,561"
Jan 27 2006,004-2006,I,Sausage products,Undeclared Allergen,"54,664"
Feb 16 2006,005-2006,I,Frozen Chicken Egg Rolls,Undeclared Allergen,"6,426"
Feb 18 2006,006-2006,I,Beef Products,Processing Defect,219
Feb 18 2006,007-2006,I,Pork Barbeque,Listeria monocytogenes,30
Mar 07 2006,008-2006,II,Meatball and Pasta Products,Undeclared Allergen,"560,604"
Mar 10 2006,009-2006,I,Frozen Stuffed Chicken Entrees,Salmonella,"75,800"
Mar 14 2006,010-2006,I,Chicken Noodle Soup,Undeclared Allergen,"36,560"
Mar 23 2006,011-2006,I,Dried Beef Products,Listeria monocytogenes,100
Apr 05 2006,012-2006,I,Ham Salad,Listeria monocytogenes,92
Apr 18 2006,013-2006,I,Chicken Product,Extraneous Material,"9,465"
Apr 20 2006,014-2006,I,Fully Cooked Breaded Chicken Breast Fillets,Processing Defect,"20,610"
May 05 2006,015-2006,I,Ground Beef Products,E. coli O157:H7,"156,235"
May 25 2006,016-2006,I,Chicken Soup,Undeclared Allergen,"5,402"
May 26 2006,017-2006,I,Frozen Meat Products,Extraneous Material,"4,327,336"
Jun 13 2006,018-2006,I,Boneless Prosciutto Ham,Other,664
Jun 30 2006,019-2006,II,Beef Stick Products,Other,765
Jul 13 2006,020-2006,I,Jumbo Franks,Undeclared Allergen,"16,716"
Jul 17 2006,021-2006,I,Ground Beef,E. coli O157:H7,315
Jul 25 2006,022-2006,II,Frozen Meat Loaf Entrees,Extraneous Material,"48,588"
Jul 25 2006,023-2006,I,Hot Dogs,Listeria monocytogenes,5
Jul 31 2006,024-2006,I,Ground Beef,E. coli O157:H7,120
Aug 04 2006,025-2006,I,Ground Beef Products,E. coli O157:H7,"13,078"
Aug 05 2006,026-2006,I,Ground Beef,E. coli O157:H7,"4,337"
Aug 18 2006,027-2006,I,Beef Products,E. coli O157:H7,909
Aug 31 2006,028-2006,II,Chicken Salad,Undeclared Allergen,"7,497"
Oct 06 2006,029-2006,I,Ground Beef,E. coli O157:H7,"5,226"
Oct 12 2006,030-2006,I,Pork Products,Listeria monocytogenes,"1,178"
Oct 23 2006,031-2006,I,Ground Beef Products,E. coli O157:H7,"1,680"
Nov 17 2006,032-2006,III,Beef Jerky Products,Residue,"23,200"
Nov 24 2006,033-2006,I,Cooked Ham and Turkey Products,Listeria monocytogenes,"46,941"
Dec 07 2006,034-2006,III,Ground Bison and Bison Steaks,Other,"2,100"
